book_id,authors,year,title,average_rating
86,John Grisham,1989,A Time to Kill,4.03
87,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),4.3
88,John Green,2008,Paper Towns,3.88
89,William Goldman,1973,The Princess Bride ,4.25
90,S.E. Hinton,1967,The Outsiders,4.06
91,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",4.02
92,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93
93,Frances Hodgson Burnett,1911,The Secret Garden,4.12
94,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,4.04
95,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,4.06
96,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",3.88
97,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,3.98
98,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",4.22
99,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",3.87
100,Barbara Kingsolver,1998,The Poisonwood Bible,4.02
101,David Sedaris,2000,Me Talk Pretty One Day,3.97
102,Maurice Sendak,1963,Where the Wild Things Are,4.22
103,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,4.21
104,Cormac McCarthy,2006,The Road,3.95
105,Veronica Roth,2013,"Allegiant (Divergent, #3)",3.63
106,Tina Fey,2011,Bossypants,3.94
107,Nicholas Sparks,1999,A Walk to Remember,4.15
108,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)",3.61
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,4.14
110,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4
111,Kim Edwards,2005,The Memory Keeper's Daughter,3.64
112,Jojo Moyes,2012,"Me Before You (Me Before You, #1)",4.27
113,Joseph Heller,1961,Catch-22,3.98
114,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,4.06
115,Jeffrey Eugenides,2002,Middlesex,3.98
116,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,3.89
117,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04
118,Amy Tan,1989,The Joy Luck Club,3.9
119,Margaret Atwood,1985,The Handmaid's Tale,4.06
120,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75
121,"Vladimir Nabokov, Craig Raine",1955,Lolita,3.88
122,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52
123,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",3.99
124,Emma Donoghue,2010,Room,4.03
125,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,4.0
126,Frank Herbert,1965,Dune (Dune Chronicles #1),4.19
127,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,3.92
128,Walter Isaacson,2011,Steve Jobs,4.09
129,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,4.18
130,Ernest Hemingway,1952,The Old Man and the Sea,3.73
131,John Steinbeck,1939,The Grapes of Wrath,3.92
132,Mitch Albom,2003,The Five People You Meet in Heaven,3.9
133,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",4.23
134,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",4.34
135,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54
136,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,3.79
137,Diana Gabaldon,1991,"Outlander (Outlander, #1)",4.2
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,3.37
139,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89
140,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2
141,Andy Weir,2012,The Martian,4.39
142,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29
143,Anthony Doerr,2014,All the Light We Cannot See,4.31
144,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4
145,Dan Brown,2001,Deception Point,3.67
146,Donna Tartt,2013,The Goldfinch,3.87
147,Jay Asher,2007,Thirteen Reasons Why,4.02
148,Tracy Chevalier,1999,Girl with a Pearl Earring,3.85
149,Gayle Forman,2009,"If I Stay (If I Stay, #1)",3.96
150,Anita Diamant,1997,The Red Tent,4.16
151,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23
152,Nicholas Sparks,2006,Dear John,4.01
153,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",4.21
154,William Shakespeare,1606,Macbeth,3.88
155,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)",4.42
156,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)",3.83
157,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,4.29
158,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1
159,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39
160,Charles Dickens,1860,Great Expectations,3.75
161,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)",4.51
162,"Albert Camus, Matthew    Ward",1942,The Stranger,3.96
163,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)",4.35
164,Rainbow Rowell,2013,Eleanor & Park,4.11
165,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1
166,Ally Condie,2010,"Matched (Matched, #1)",3.68
167,Neil Gaiman,2001,"American Gods (American Gods, #1)",4.11
168,"Stephen King, Bernie Wrightson",1978,The Stand,4.34
169,Nicholas Sparks,2008,The Last Song,4.14
170,Dan Brown,1998,Digital Fortress,3.6
171,"Jane Austen, Fiona Stafford",1815,Emma,3.99
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,4.02
173,Anthony Burgess,1962,A Clockwork Orange,3.98
174,William Paul Young,2007,The Shack,3.74
175,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5
176,Stephen King,1986,It,4.18
177,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,4.18
178,Sylvia Plath,1963,The Bell Jar,3.98
179,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",4.07
180,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,3.99
181,Truman Capote,1965,In Cold Blood,4.05
182,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",3.76
183,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",4.33
184,"Roald Dahl, Quentin Blake",1988,Matilda,4.29
185,Erin Morgenstern,2011,The Night Circus,4.03
186,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04
187,Scott Westerfeld,2005,"Uglies (Uglies, #1)",3.86
188,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31
189,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47
190,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,3.96
191,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,4.35
192,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55
193,Malcolm Gladwell,2008,Outliers: The Story of Success,4.11
194,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale",3.46
195,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,4.12
196,Chuck Palahniuk,1996,Fight Club,4.2
197,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)",3.96
198,Alice Walker,1982,The Color Purple,4.17
199,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog,4.12
200,Agatha Christie,1939,And Then There Were None,4.23
201,Dan Brown,2009,"The Lost Symbol (Robert Langdon, #3)",3.66
202,Becca Fitzpatrick,2009,"Hush, Hush (Hush, Hush, #1)",4.0
203,Jamie McGuire,2011,"Beautiful Disaster (Beautiful, #1)",4.15
204,Charles Dickens,1843,A Christmas Carol,4.02
205,Anne Rice,1976,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97
206,Kiera Cass,2012,"The Selection (The Selection, #1)",4.15
207,Janet Evanovich,1994,"One for the Money (Stephanie Plum, #1)",4.03
208,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,4.04
209,Thomas Harris,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14
210,Richelle Mead,2007,"Vampire Academy (Vampire Academy, #1)",4.14
211,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,3.89
212,Ian McEwan,2001,Atonement,3.88
213,"Franz Kafka, Stanley Corngold",1915,The Metamorphosis,3.78
214,Rick Riordan,2007,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33
215,Ernest Cline,2011,Ready Player One,4.31
216,Garth Stein,2006,The Art of Racing in the Rain,4.19
217,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98
218,Sylvia Day,2012,"Bared to You (Crossfire, #1)",4.19
219,"C.S. Lewis, Pauline Baynes",1956,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24
220,Mark Cotta Vaz,2008,Twilight: The Complete Illustrated Movie Companion,4.23
221,Dave Pelzer,1995,"A Child Called ""It"" (Dave Pelzer #1)",4.08
222,Robert Ludlum,1980,"The Bourne Identity (Jason Bourne, #1)",3.98
223,Eoin Colfer,2001,"Artemis Fowl (Artemis Fowl, #1)",3.82
224,Lauren Kate,2009,"Fallen (Fallen, #1)",3.74
225,John Steinbeck,1952,East of Eden,4.35
226,Gillian Flynn,2009,Dark Places,3.92
227,John Grisham,1993,The Client,3.97
228,"Emma McLaughlin, Nicola Kraus",2002,"The Nanny Diaries (Nanny, #1)",3.4
229,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland & Through the Looking-Glass,4.06
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,4.13
231,Tatiana de Rosnay,2007,Sarah's Key,4.14
232,Stephen King,1982,"The Gunslinger (The Dark Tower, #1)",3.99
233,"Gabriel García Márquez, Edith Grossman",1985,Love in the Time of Cholera,3.89
234,Laurie Halse Anderson,1999,Speak,4.0
235,Liane Moriarty,2013,The Husband's Secret,3.92
236,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mount Everest Disaster,4.11
237,Stephen King,1974,Carrie,3.93
238,Augusten Burroughs,2002,Running with Scissors,3.7
239,Max Brooks,2006,World War Z: An Oral History of the Zombie War,4.01
240,Dan Brown,2013,"Inferno (Robert Langdon, #4)",3.8
241,Lois Lowry,1989,Number the Stars,4.11
242,James Patterson,1993,"Along Came a Spider (Alex Cross, #1)",4.08
243,Stephen King,1987,Misery,4.11
244,Gillian Flynn,2006,Sharp Objects,3.92
245,Katherine Paterson,1977,Bridge to Terabithia,3.98
246,"P.C. Cast, Kristin Cast",2007,"Marked (House of Night, #1)",3.79
247,Stephen R. Covey,1989,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.05
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,3.94
249,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,3.97
250,R.J. Palacio,2012,Wonder,4.43
251,Dr. Seuss,1957,The Cat in the Hat,4.15
252,Marissa Meyer,2012,"Cinder (The Lunar Chronicles, #1)",4.15
253,"Robert Galbraith, J.K. Rowling",2013,"The Cuckoo's Calling (Cormoran Strike, #1)",3.83
254,Maggie Stiefvater,2009,"Shiver (The Wolves of Mercy Falls, #1)",3.78
255,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged,3.68
256,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,3.64
257,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,Alice in Wonderland,4.03
258,"Carlos Ruiz Zafón, Lucia Graves",2001,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",4.24
259,James Dashner,2010,"The Scorch Trials (Maze Runner, #2)",3.93
260,Dale Carnegie,1936,How to Win Friends and Influence People,4.13
261,Frances Mayes,1996,Under the Tuscan Sun,3.72
262,Liane Moriarty,2014,Big Little Lies,4.2
263,Gail Carson Levine,1997,Ella Enchanted,3.97
264,Ernest Hemingway,1926,The Sun Also Rises,3.83
265,Betty  Smith,1943,A Tree Grows in Brooklyn,4.24
266,James Patterson,1995,"Kiss the Girls (Alex Cross, #2)",3.93
267,Kristin Hannah,2015,The Nightingale,4.54
268,Kazuo Ishiguro,2005,Never Let Me Go,3.8
269,Cecelia Ahern,2003,P.S. I Love You,4.01
270,"Daphne du Maurier, Sally Beauman",1938,Rebecca,4.2
271,Daniel Keyes,1966,Flowers for Algernon,4.07
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Like Water for Chocolate,3.94
273,Lisa See,2005,Snow Flower and the Secret Fan,4.05
274,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather,4.36
275,John Green,2006,An Abundance of Katherines,3.63
276,Isaac Asimov,1951,Foundation (Foundation #1),4.13
277,Neil Gaiman,2013,The Ocean at the End of the Lane,3.99
278,Shel Silverstein,1981,A Light in the Attic,4.34
279,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",3.75
280,Lauren Oliver,2011,"Delirium (Delirium, #1)",3.99
281,John Grisham,1992,The Pelican Brief,3.95
282,Neil Gaiman,2002,Coraline,4.03
283,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25
284,Jack Kerouac,1955,On the Road,3.64
285,Graeme Simsion,2013,"The Rosie Project (Don Tillman, #1)",4.01
286,Nicholas Sparks,2008,The Lucky One,4.1
287,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead,3.85
288,Tom Clancy,1984,"The Hunt for Red October (Jack Ryan Universe, #4)",4.01
289,Richard Adams,1972,"Watership Down (Watership Down, #1)",4.05
290,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns),3.84
291,Abraham Verghese,2009,Cutting for Stone,4.28
292,"C.S. Lewis, Pauline Baynes",1951,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",4.08
293,Robert Louis Stevenson,1882,Treasure Island,3.82
294,Rick Riordan,2011,"The Son of Neptune (The Heroes of Olympus, #2)",4.44
295,Stephen King,2011,11/22/63,4.29
296,Eric Carle,1969,The Very Hungry Caterpillar Board Book,4.29
297,Kurt Vonnegut Jr.,1963,Cat's Cradle,4.18
298,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine,3.87
299,"Todd Burpo, Lynn Vincent",2010,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,4.01
300,John Boyne,2006,The Boy in the Striped Pajamas,4.1
301,Joseph Conrad,1899,Heart of Darkness,3.42
302,Nicholas Sparks,2010,Safe Haven,4.19
303,Rhonda Byrne,2006,"The Secret (The Secret, #1)",3.62
304,Wally Lamb,1998,I Know This Much Is True,4.17
305,Stephen King,1983,Pet Sematary,3.91
306,Wally Lamb,1992,She's Come Undone,3.84
307,Patrick Rothfuss,2011,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",4.57
308,Sophie Kinsella,2003,Can You Keep a Secret?,3.83
309,Cassandra Clare,2011,"City of Fallen Angels (The Mortal Instruments, #4)",4.16
310,Jennifer Weiner,2001,"Good in Bed (Cannie Shapiro, #1)",3.7
311,Colleen McCullough,1977,The Thorn Birds,4.22
312,"Neil Gaiman, Dave McKean",2008,The Graveyard Book,4.12
313,M.L. Stedman,2012,The Light Between Oceans,4.0
314,"Cornelia Funke, Anthea Bell",2003,"Inkheart (Inkworld, #1)",3.86
315,"Spencer Johnson, Kenneth H. Blanchard",1998,Who Moved My Cheese?,3.74
316,Bill Bryson,1997,A Walk in the Woods,4.05
317,Maya Angelou,1969,I Know Why the Caged Bird Sings,4.19
318,Christina Baker Kline,2013,Orphan Train,4.14
319,Cassandra Clare,2012,"City of Lost Souls (The Mortal Instruments, #5)",4.3
320,Maria Semple,2012,"Where'd You Go, Bernadette",3.9
321,Wilson Rawls,1961,Where the Red Fern Grows,4.04
322,Neil Gaiman,1996,Neverwhere,4.18
323,"Milan Kundera, Michael Henry Heim",1984,The Unbearable Lightness of Being,4.08
324,Rainbow Rowell,2013,Fangirl,4.12
325,John Irving,1989,A Prayer for Owen Meany,4.22
326,Janet Fitch,1999,White Oleander,3.93
327,Marie Lu,2011,"Legend (Legend, #1)",4.19
328,Jodi Picoult,2007,Nineteen Minutes,4.1
329,"Randy Pausch, Jeffrey Zaslow",2008,The Last Lecture,4.25
330,Robert Jordan,1990,"The Eye of the World (Wheel of Time, #1)",4.18
331,Jodi Picoult,1998,The Pact,4.0
332,C.S. Lewis,1953,"The Magician's Nephew (Chronicles of Narnia, #6)",4.01
333,Lisa Genova,2007,Still Alice,4.3
334,Sylvia Day,2012,"Reflected in You (Crossfire, #2)",4.33
335,"Roald Dahl, Quentin Blake",1961,James and the Giant Peach,3.99
336,James Patterson,2001,"1st to Die (Women's Murder Club, #1)",4.05
337,Douglas Adams,1996,The Ultimate Hitchhiker's Guide to the Galaxy,4.37
338,David Nicholls,2009,One Day,3.77
339,"Margaret Wise Brown, Clement Hurd",1947,Goodnight Moon,4.27
340,Pittacus Lore,2010,"I Am Number Four (Lorien Legacies, #1)",3.94
341,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750,The Iliad,3.83
342,J.K. Rowling,2012,The Casual Vacancy,3.28
343,John Grisham,1996,The Runaway Jury,3.96
344,David Sedaris,1997,Naked,4.08
345,Christopher Paolini,2005,"Eldest (The Inheritance Cycle, #2)",3.96
346,"L. Frank Baum, W.W. Denslow",1900,"The Wonderful Wizard of Oz (Oz, #1)",3.98
347,C.S. Lewis,1951,"Prince Caspian (Chronicles of Narnia, #2)",3.96
348,E. Lockhart,2014,We Were Liars,3.85
349,Stephen King,1975,'Salem's Lot,3.99
350,"Hunter S. Thompson, Ralph Steadman",1971,Fear and Loathing in Las Vegas,4.08
351,Cassandra Clare,2011,"Clockwork Prince (The Infernal Devices, #2)",4.46
352,Amy Poehler,2014,Yes Please,3.81
353,William Shakespeare,1603,Othello,3.88
354,Toni Morrison,1987,Beloved,3.77
355,Kristin Cashore,2008,"Graceling (Graceling Realm, #1)",4.1
356,"Lemony Snicket, Brett Helquist",1999,"The Bad Beginning (A Series of Unfortunate Events, #1)",3.89
357,"Erich Maria Remarque, A.W. Wheen",1929,All Quiet on the Western Front,3.92
358,Dr. Seuss,1990,"Oh, The Places You'll Go!",4.34
359,Khaled Hosseini,2012,And the Mountains Echoed,4.03
360,"Philip K. Dick, Roger Zelazny",1968,Do Androids Dream of Electric Sheep?,4.08
361,"Charles Dickens, George Cruikshank, Philip Horne",1838,Oliver Twist,3.85
362,C.S. Lewis,1942,The Screwtape Letters,4.21
363,Stephanie Perkins,2010,"Anna and the French Kiss (Anna and the French Kiss, #1)",4.08
364,Dr. Seuss,1957,How the Grinch Stole Christmas!,4.36
365,"Alan Moore, David   Lloyd",1990,V for Vendetta,4.25
366,David McCullough,2001,John Adams,4.05
367,Dean Koontz,2003,"Odd Thomas (Odd Thomas, #1)",3.94
368,Philip Pullman,1997,"The Subtle Knife (His Dark Materials, #2)",4.1
369,Jerry Spinelli,2000,"Stargirl (Stargirl, #1)",3.74
370,Rick Riordan,2010,"The Red Pyramid (Kane Chronicles, #1)",4.06
371,Robert A. Heinlein,1961,Stranger in a Strange Land,3.91
372,David Sedaris,2004,Dress Your Family in Corduroy and Denim,4.08
373,"Roald Dahl, Quentin Blake",1982,The BFG,4.22
374,Bill Bryson,2003,A Short History of Nearly Everything,4.19
375,Jack London,1903,The Call of the Wild,3.83
376,James Dashner,2011,"The Death Cure (Maze Runner, #3)",3.77
377,Neil Gaiman,1999,Stardust,4.07
378,Jhumpa Lahiri,2003,The Namesake,3.96
379,Deborah Harkness,2011,"A Discovery of Witches (All Souls Trilogy, #1)",3.99
380,"Haruki Murakami, Jay Rubin",1987,Norwegian Wood,4.02
381,Billie Letts,1995,Where the Heart Is,4.0
382,"John Green, David Levithan",2010,"Will Grayson, Will Grayson",3.84
383,James Frey,2003,A Million Little Pieces,3.62
384,Richelle Mead,2008,"Frostbite (Vampire Academy, #2)",4.3
385,Susan Cain,2012,Quiet: The Power of Introverts in a World That Can't Stop Talking,4.04
386,Scott O'Dell,1960,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",3.8
387,"Arthur Miller, Christopher Bigsby",1953,The Crucible,3.55
388,Gary Paulsen,1986,"Hatchet (Brian's Saga, #1)",3.68
389,Brandon Sanderson,2006,"The Final Empire (Mistborn, #1)",4.43
